,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2904,INN02905,2,0,0,5,Meal Plan 1,0,Room_Type 4,41,2018,10,4,Online,0,0,0,139.5,2,Not_Canceled
5515,INN05516,2,0,0,1,Meal Plan 1,0,Room_Type 1,167,2018,7,30,Online,0,0,0,105.3,2,Canceled
25097,INN25098,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
8143,INN08144,2,0,2,0,Meal Plan 1,0,Room_Type 1,27,2018,10,16,Offline,0,0,0,85.0,0,Not_Canceled
7740,INN07741,2,0,2,5,Not Selected,0,Room_Type 1,104,2018,10,6,Online,0,0,0,108.0,0,Canceled
31661,INN31662,2,0,1,2,Meal Plan 1,0,Room_Type 1,63,2018,4,29,Online,0,0,0,126.9,1,Not_Canceled
18363,INN18364,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
28208,INN28209,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Offline,0,0,0,224.67,0,Canceled
9040,INN09041,2,0,2,1,Meal Plan 1,0,Room_Type 4,80,2017,11,14,Online,0,0,0,65.45,1,Not_Canceled
19179,INN19180,1,0,0,1,Meal Plan 1,0,Room_Type 1,182,2018,10,12,Offline,0,0,0,120.0,1,Canceled
27057,INN27058,1,0,0,1,Meal Plan 1,1,Room_Type 1,1,2018,11,22,Corporate,1,0,1,88.0,0,Not_Canceled
13840,INN13841,1,0,1,3,Meal Plan 1,0,Room_Type 1,0,2018,12,29,Offline,0,0,0,65.0,0,Not_Canceled
27612,INN27613,2,0,1,1,Meal Plan 1,0,Room_Type 1,21,2017,9,21,Online,0,0,0,124.0,2,Not_Canceled
25239,INN25240,3,0,2,5,Meal Plan 1,0,Room_Type 4,19,2018,2,19,Online,0,0,0,130.0,1,Not_Canceled
2639,INN02640,1,0,1,0,Not Selected,0,Room_Type 1,24,2018,5,2,Online,0,0,0,124.0,1,Not_Canceled
26409,INN26410,2,0,1,2,Meal Plan 1,0,Room_Type 1,186,2018,4,22,Offline,0,0,0,80.0,0,Not_Canceled
32332,INN32333,2,0,1,2,Meal Plan 1,0,Room_Type 1,30,2018,2,12,Online,0,0,0,63.21,1,Not_Canceled
26453,INN26454,2,0,2,3,Meal Plan 1,0,Room_Type 1,118,2018,11,25,Online,0,0,0,85.0,2,Not_Canceled
5854,INN05855,2,0,1,5,Meal Plan 1,0,Room_Type 4,184,2018,6,6,Online,0,0,0,115.32,1,Canceled
31999,INN32000,1,0,0,2,Meal Plan 1,1,Room_Type 1,0,2018,9,13,Corporate,1,4,44,67.0,0,Not_Canceled
21365,INN21366,2,0,0,2,Meal Plan 1,0,Room_Type 4,41,2018,11,2,Online,0,0,0,118.0,0,Not_Canceled
5885,INN05886,2,1,0,1,Meal Plan 1,1,Room_Type 1,4,2018,1,8,Online,0,0,0,87.3,2,Not_Canceled
5449,INN05450,2,0,1,3,Not Selected,0,Room_Type 1,52,2018,4,11,Online,0,0,0,89.25,1,Not_Canceled
22561,INN22562,3,0,2,2,Meal Plan 1,0,Room_Type 4,48,2018,8,20,Online,0,0,0,168.3,0,Not_Canceled
26498,INN26499,1,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,7,7,Corporate,0,0,0,79.0,0,Not_Canceled
22656,INN22657,2,2,2,3,Meal Plan 1,0,Room_Type 7,96,2018,7,23,Online,0,0,0,188.16,2,Not_Canceled
19714,INN19715,2,0,2,3,Meal Plan 1,0,Room_Type 1,189,2018,7,30,Online,0,0,0,90.95,1,Not_Canceled
24172,INN24173,2,0,0,3,Meal Plan 1,0,Room_Type 1,9,2017,10,7,Online,0,0,0,145.0,0,Not_Canceled
3950,INN03951,2,0,1,3,Meal Plan 1,0,Room_Type 1,164,2018,5,2,Online,0,0,0,99.45,0,Canceled
9220,INN09221,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Offline,0,0,0,100.0,0,Canceled
33156,INN33157,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,80.0,0,Not_Canceled
4983,INN04984,2,0,0,2,Meal Plan 1,1,Room_Type 1,166,2018,9,30,Online,0,0,0,99.78,1,Not_Canceled
13814,INN13815,2,0,2,4,Not Selected,0,Room_Type 1,144,2018,7,15,Online,0,0,0,89.25,0,Canceled
20470,INN20471,3,0,0,3,Meal Plan 1,0,Room_Type 4,81,2018,7,27,Online,0,0,0,139.5,2,Not_Canceled
15103,INN15104,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,2018,4,11,Online,0,0,0,90.95,1,Not_Canceled
17677,INN17678,2,0,0,4,Meal Plan 1,0,Room_Type 5,19,2017,9,2,Offline,0,0,0,83.55,1,Not_Canceled
17773,INN17774,2,0,1,2,Meal Plan 2,0,Room_Type 1,207,2018,12,30,Offline,0,0,0,183.0,0,Not_Canceled
27190,INN27191,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,5,7,Online,0,0,0,141.0,0,Canceled
12298,INN12299,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
10355,INN10356,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,115.0,1,Canceled
3749,INN03750,2,1,0,1,Meal Plan 1,0,Room_Type 2,15,2017,8,28,Complementary,0,0,0,0.0,4,Not_Canceled
18791,INN18792,1,0,0,4,Meal Plan 1,0,Room_Type 1,4,2017,11,4,Online,0,0,0,101.0,1,Not_Canceled
10904,INN10905,1,0,0,1,Not Selected,0,Room_Type 1,19,2018,1,21,Online,0,0,0,75.0,1,Not_Canceled
25584,INN25585,2,0,2,3,Meal Plan 1,0,Room_Type 1,168,2018,8,12,Offline,0,0,0,72.25,2,Not_Canceled
28543,INN28544,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
1064,INN01065,2,0,2,3,Meal Plan 1,0,Room_Type 4,16,2018,12,22,Online,0,0,0,77.53,0,Not_Canceled
2372,INN02373,2,1,0,3,Meal Plan 1,0,Room_Type 1,70,2018,12,8,Online,0,0,0,113.87,2,Not_Canceled
35339,INN35340,2,0,2,2,Meal Plan 1,0,Room_Type 1,134,2017,12,4,Offline,0,0,0,65.0,0,Not_Canceled
30268,INN30269,2,0,2,0,Meal Plan 2,0,Room_Type 1,75,2018,10,30,Offline,0,0,0,105.0,0,Canceled
14511,INN14512,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,2018,5,13,Offline,0,0,0,61.0,0,Canceled
25428,INN25429,2,1,2,3,Meal Plan 1,0,Room_Type 1,56,2018,4,24,Online,0,0,0,115.09,2,Not_Canceled
5485,INN05486,2,0,2,2,Meal Plan 1,0,Room_Type 1,226,2018,10,29,Online,0,0,0,70.0,0,Canceled
32340,INN32341,2,0,0,4,Not Selected,0,Room_Type 1,93,2018,6,14,Online,0,0,0,128.78,0,Canceled
27809,INN27810,2,0,0,3,Not Selected,0,Room_Type 1,122,2018,6,9,Online,0,0,0,116.1,0,Canceled
34664,INN34665,2,0,1,3,Meal Plan 1,0,Room_Type 1,265,2018,12,26,Online,0,0,0,73.95,0,Canceled
31488,INN31489,1,0,2,4,Meal Plan 2,0,Room_Type 1,327,2017,9,9,Offline,0,0,0,76.0,0,Not_Canceled
33164,INN33165,2,0,1,4,Meal Plan 1,0,Room_Type 4,191,2018,7,27,Online,0,0,0,99.45,1,Canceled
13174,INN13175,3,0,1,2,Meal Plan 1,0,Room_Type 4,95,2018,5,2,Online,0,0,0,159.3,2,Canceled
30216,INN30217,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,7,Corporate,1,0,2,65.0,1,Not_Canceled
15047,INN15048,2,0,0,4,Meal Plan 1,0,Room_Type 1,35,2017,10,20,Online,0,0,0,96.3,2,Not_Canceled
1627,INN01628,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,115.0,1,Canceled
3555,INN03556,2,0,2,2,Meal Plan 1,0,Room_Type 1,166,2018,8,5,Online,0,0,0,99.45,0,Canceled
11777,INN11778,2,0,0,4,Not Selected,0,Room_Type 1,96,2018,7,6,Online,0,0,0,103.5,0,Not_Canceled
6006,INN06007,2,0,0,4,Not Selected,0,Room_Type 1,49,2018,11,16,Online,0,0,0,74.8,2,Canceled
6897,INN06898,1,0,0,2,Not Selected,0,Room_Type 1,5,2018,9,6,Online,0,0,0,110.11,1,Not_Canceled
29766,INN29767,2,0,2,2,Meal Plan 1,0,Room_Type 4,147,2018,5,27,Online,0,0,0,118.15,1,Not_Canceled
3819,INN03820,1,0,1,0,Not Selected,0,Room_Type 1,6,2018,2,1,Online,0,0,0,81.0,0,Not_Canceled
28631,INN28632,2,0,1,2,Meal Plan 2,0,Room_Type 1,315,2018,9,30,Offline,0,0,0,160.0,0,Canceled
21288,INN21289,2,0,0,4,Meal Plan 1,0,Room_Type 1,49,2018,11,2,Offline,0,0,0,75.0,0,Not_Canceled
29707,INN29708,2,0,1,2,Meal Plan 1,0,Room_Type 1,48,2017,10,2,Online,0,0,0,73.51,0,Not_Canceled
32645,INN32646,2,0,1,1,Not Selected,0,Room_Type 1,1,2018,7,4,Online,0,0,0,139.0,1,Not_Canceled
27453,INN27454,2,0,1,1,Meal Plan 1,0,Room_Type 1,45,2018,5,21,Online,0,0,0,126.9,2,Not_Canceled
610,INN00611,2,0,2,5,Meal Plan 1,0,Room_Type 1,164,2018,7,27,Online,0,0,0,99.45,0,Canceled
10015,INN10016,2,0,2,4,Meal Plan 1,0,Room_Type 1,137,2018,11,16,Online,0,0,0,65.45,1,Not_Canceled
29301,INN29302,2,0,0,3,Meal Plan 1,0,Room_Type 1,99,2017,12,15,Online,0,0,0,72.25,1,Not_Canceled
18820,INN18821,2,0,0,4,Meal Plan 1,0,Room_Type 1,29,2018,11,9,Online,0,0,0,150.06,1,Not_Canceled
32070,INN32071,2,0,0,3,Not Selected,0,Room_Type 1,17,2018,12,8,Online,0,0,0,92.67,0,Not_Canceled
25698,INN25699,2,0,2,3,Meal Plan 1,0,Room_Type 1,224,2018,12,29,Online,0,0,0,82.11,0,Canceled
18933,INN18934,2,0,0,1,Meal Plan 1,0,Room_Type 1,18,2017,10,2,Online,0,0,0,82.39,1,Not_Canceled
22718,INN22719,2,1,1,1,Meal Plan 1,0,Room_Type 1,131,2018,7,9,Offline,0,0,0,72.25,0,Not_Canceled
21158,INN21159,2,0,0,4,Meal Plan 1,0,Room_Type 1,74,2018,4,13,Online,0,0,0,99.45,0,Not_Canceled
13532,INN13533,2,0,0,1,Meal Plan 1,0,Room_Type 1,180,2017,10,16,Offline,0,0,0,70.0,0,Canceled
23414,INN23415,2,0,0,2,Meal Plan 1,0,Room_Type 4,64,2018,5,27,Online,0,0,0,140.4,0,Canceled
10474,INN10475,2,0,2,5,Meal Plan 1,0,Room_Type 1,107,2018,7,9,Online,0,0,0,109.16,1,Not_Canceled
16202,INN16203,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,1,21,Corporate,0,0,0,66.0,0,Not_Canceled
24257,INN24258,2,0,0,1,Meal Plan 1,0,Room_Type 4,1,2018,5,21,Online,0,0,0,176.0,1,Canceled
33827,INN33828,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
29067,INN29068,2,2,0,2,Meal Plan 1,0,Room_Type 6,116,2018,9,30,Online,0,0,0,216.45,0,Canceled
390,INN00391,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,19,Corporate,0,0,0,80.0,0,Not_Canceled
17227,INN17228,2,0,2,4,Meal Plan 1,0,Room_Type 4,228,2018,10,5,Online,0,0,0,115.6,2,Canceled
9001,INN09002,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85.0,0,Canceled
5735,INN05736,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Online,0,0,0,110.0,0,Canceled
4174,INN04175,2,0,0,1,Not Selected,0,Room_Type 1,81,2018,8,16,Online,0,0,0,125.1,2,Not_Canceled
15312,INN15313,2,0,0,3,Meal Plan 1,0,Room_Type 1,7,2018,10,20,Online,0,0,0,123.2,1,Not_Canceled
9444,INN09445,1,0,2,5,Meal Plan 1,0,Room_Type 4,3,2018,9,11,Online,0,0,0,179.71,1,Canceled
22954,INN22955,2,0,2,1,Meal Plan 1,1,Room_Type 1,12,2017,11,7,Online,0,0,0,114.0,0,Not_Canceled
33538,INN33539,1,0,2,4,Not Selected,0,Room_Type 1,37,2018,3,31,Online,0,0,0,107.1,0,Canceled
33713,INN33714,2,0,0,1,Meal Plan 1,0,Room_Type 4,0,2018,6,22,Online,0,0,0,126.0,1,Not_Canceled
18272,INN18273,2,0,2,1,Meal Plan 1,0,Room_Type 1,24,2017,12,5,Corporate,0,0,0,50.0,0,Not_Canceled
3951,INN03952,2,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,4,4,Online,0,0,0,101.0,2,Not_Canceled
19002,INN19003,2,0,1,4,Meal Plan 1,0,Room_Type 4,138,2018,7,18,Online,0,0,0,115.6,1,Not_Canceled
9681,INN09682,3,0,0,3,Meal Plan 1,0,Room_Type 4,114,2018,7,7,Online,0,0,0,146.7,1,Not_Canceled
13406,INN13407,2,0,0,3,Meal Plan 1,0,Room_Type 1,31,2018,10,27,Online,0,0,0,129.0,2,Not_Canceled
24270,INN24271,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2017,10,1,Online,0,0,0,120.0,1,Not_Canceled
31242,INN31243,2,1,0,2,Meal Plan 1,0,Room_Type 1,58,2018,6,8,Online,0,0,0,138.6,2,Not_Canceled
12812,INN12813,2,0,0,1,Meal Plan 1,0,Room_Type 1,121,2018,6,9,Offline,0,0,0,120.0,0,Canceled
32986,INN32987,2,0,0,1,Not Selected,0,Room_Type 1,30,2018,5,25,Online,0,0,0,98.1,0,Canceled
20341,INN20342,2,0,1,3,Not Selected,0,Room_Type 1,161,2018,10,31,Offline,0,0,0,59.5,0,Not_Canceled
22074,INN22075,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,2018,5,19,Offline,0,0,0,80.0,0,Canceled
11377,INN11378,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,2018,3,31,Online,0,0,0,147.0,0,Not_Canceled
2888,INN02889,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Online,0,0,0,120.0,0,Canceled
8299,INN08300,1,0,1,2,Meal Plan 1,0,Room_Type 6,17,2018,10,10,Online,0,0,0,176.33,1,Not_Canceled
27643,INN27644,2,0,1,1,Meal Plan 1,0,Room_Type 1,36,2018,2,27,Online,0,0,0,91.3,0,Not_Canceled
29433,INN29434,2,0,2,2,Meal Plan 1,0,Room_Type 1,229,2018,10,22,Online,0,0,0,89.25,0,Canceled
14408,INN14409,1,0,0,1,Not Selected,0,Room_Type 1,8,2018,4,5,Online,0,0,0,89.0,1,Not_Canceled
22301,INN22302,1,0,1,0,Meal Plan 1,0,Room_Type 1,39,2018,9,25,Online,0,0,0,129.7,0,Not_Canceled
6833,INN06834,1,0,0,2,Meal Plan 1,0,Room_Type 1,12,2017,10,20,Corporate,0,0,0,130.0,0,Not_Canceled
34903,INN34904,1,0,1,0,Meal Plan 1,1,Room_Type 1,3,2018,6,6,Corporate,1,0,3,65.0,0,Not_Canceled
11853,INN11854,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,72.75,0,Not_Canceled
24314,INN24315,2,0,1,3,Meal Plan 1,0,Room_Type 1,93,2017,12,3,Online,0,0,0,72.25,2,Not_Canceled
16913,INN16914,2,0,0,2,Not Selected,0,Room_Type 1,8,2018,9,7,Online,0,0,0,149.0,1,Not_Canceled
27998,INN27999,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,2018,5,2,Offline,0,0,0,100.0,1,Not_Canceled
22684,INN22685,2,0,0,1,Not Selected,0,Room_Type 1,36,2018,9,9,Online,0,0,0,112.59,1,Not_Canceled
5296,INN05297,1,0,1,2,Not Selected,0,Room_Type 1,10,2018,10,3,Online,0,0,0,135.0,3,Not_Canceled
29673,INN29674,2,1,2,3,Meal Plan 1,0,Room_Type 6,81,2018,5,15,Online,0,0,0,187.85,0,Canceled
34985,INN34986,3,0,3,5,Meal Plan 1,0,Room_Type 4,82,2018,8,8,Online,0,0,0,150.3,2,Canceled
32996,INN32997,1,0,0,1,Meal Plan 2,0,Room_Type 1,184,2018,8,17,Online,0,0,0,82.12,2,Canceled
8623,INN08624,2,0,0,2,Meal Plan 1,0,Room_Type 1,50,2017,10,21,Online,0,0,0,94.5,1,Not_Canceled
24583,INN24584,2,0,2,2,Not Selected,0,Room_Type 1,64,2018,6,19,Online,0,0,0,116.1,0,Canceled
19623,INN19624,2,0,0,2,Meal Plan 1,0,Room_Type 4,145,2018,7,28,Online,0,0,0,118.8,0,Not_Canceled
28931,INN28932,3,0,1,2,Meal Plan 1,0,Room_Type 4,70,2018,5,9,Offline,0,0,0,115.6,0,Not_Canceled
3981,INN03982,2,0,0,3,Not Selected,0,Room_Type 1,35,2018,2,11,Online,0,0,0,67.5,0,Canceled
29068,INN29069,2,0,2,2,Meal Plan 1,0,Room_Type 1,229,2018,10,22,Online,0,0,0,89.25,0,Canceled
33064,INN33065,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,Offline,0,0,0,90.0,0,Canceled
35281,INN35282,2,0,1,3,Meal Plan 2,0,Room_Type 1,98,2018,7,11,Online,0,0,0,141.75,0,Not_Canceled
22082,INN22083,2,0,2,3,Meal Plan 1,0,Room_Type 5,9,2017,12,25,Online,0,0,0,98.64,0,Not_Canceled
9499,INN09500,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,9,Online,0,0,0,91.0,1,Not_Canceled
160,INN00161,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,11,12,Online,0,0,0,105.0,2,Not_Canceled
20415,INN20416,2,0,1,2,Meal Plan 1,0,Room_Type 1,27,2018,8,22,Online,0,0,0,151.0,1,Canceled
11617,INN11618,2,0,2,4,Meal Plan 1,0,Room_Type 1,59,2017,10,15,Online,0,0,0,89.25,2,Not_Canceled
22176,INN22177,2,0,0,1,Not Selected,0,Room_Type 1,8,2018,9,2,Online,0,0,0,119.0,1,Not_Canceled
14251,INN14252,3,0,1,4,Meal Plan 1,0,Room_Type 4,39,2018,4,20,Online,0,0,0,139.5,0,Canceled
23273,INN23274,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,10,11,Online,0,0,0,92.98,0,Not_Canceled
26139,INN26140,2,0,2,2,Not Selected,0,Room_Type 1,33,2018,11,11,Online,0,0,0,84.15,1,Canceled
36100,INN36101,2,0,0,2,Meal Plan 1,1,Room_Type 1,217,2018,5,24,Online,0,0,0,124.2,1,Canceled
3247,INN03248,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,6,8,Corporate,1,1,6,65.0,1,Not_Canceled
13715,INN13716,1,0,0,2,Meal Plan 1,0,Room_Type 1,2,2018,11,2,Corporate,1,0,1,65.0,1,Not_Canceled
18741,INN18742,2,0,2,3,Meal Plan 1,0,Room_Type 4,59,2018,4,28,Online,0,0,0,128.69,0,Canceled
2093,INN02094,2,0,0,3,Meal Plan 1,0,Room_Type 1,76,2017,7,7,Online,0,0,0,76.5,1,Canceled
6392,INN06393,1,0,1,2,Not Selected,0,Room_Type 1,3,2017,9,21,Online,0,0,0,133.0,2,Not_Canceled
20185,INN20186,2,0,1,4,Meal Plan 1,0,Room_Type 1,58,2018,2,3,Offline,0,0,0,60.0,0,Not_Canceled
4324,INN04325,2,1,0,2,Meal Plan 1,0,Room_Type 1,15,2018,3,4,Online,0,0,0,114.0,1,Canceled
12643,INN12644,3,0,1,3,Meal Plan 1,0,Room_Type 4,90,2018,12,26,Online,0,0,0,127.71,3,Not_Canceled
10411,INN10412,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Canceled
1582,INN01583,2,0,1,2,Meal Plan 1,0,Room_Type 1,129,2018,5,13,Offline,0,0,0,80.75,2,Not_Canceled
34211,INN34212,2,0,1,3,Meal Plan 1,0,Room_Type 1,42,2018,4,21,Online,0,0,0,103.84,1,Not_Canceled
10577,INN10578,2,0,0,2,Meal Plan 1,0,Room_Type 4,28,2018,5,20,Online,0,0,0,156.0,0,Canceled
24130,INN24131,2,0,2,1,Meal Plan 1,0,Room_Type 4,50,2018,10,8,Online,0,0,0,139.5,1,Canceled
6791,INN06792,2,0,0,2,Meal Plan 1,0,Room_Type 1,68,2017,9,29,Offline,0,0,0,65.0,0,Not_Canceled
31008,INN31009,1,0,0,1,Meal Plan 1,0,Room_Type 4,6,2017,9,23,Online,0,0,0,0.0,1,Not_Canceled
20017,INN20018,1,0,2,2,Meal Plan 1,0,Room_Type 1,56,2018,3,12,Online,0,0,0,63.75,0,Canceled
21821,INN21822,2,0,0,4,Meal Plan 1,0,Room_Type 1,92,2017,10,7,Offline,0,0,0,70.0,0,Not_Canceled
7923,INN07924,2,0,1,2,Meal Plan 1,0,Room_Type 1,24,2018,8,12,Offline,0,0,0,85.0,1,Not_Canceled
32074,INN32075,2,0,2,2,Meal Plan 1,0,Room_Type 1,109,2018,8,26,Offline,0,0,0,72.25,0,Not_Canceled
13639,INN13640,1,0,2,5,Meal Plan 1,0,Room_Type 1,7,2018,11,2,Corporate,1,0,2,65.0,1,Not_Canceled
29154,INN29155,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Offline,0,0,0,110.0,0,Canceled
14532,INN14533,2,0,1,1,Meal Plan 1,0,Room_Type 1,15,2018,5,9,Online,0,0,0,111.0,1,Not_Canceled
13526,INN13527,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,2018,7,25,Online,0,0,0,121.5,2,Canceled
7459,INN07460,2,0,0,2,Not Selected,0,Room_Type 1,33,2018,8,30,Online,0,0,0,89.1,1,Canceled
31267,INN31268,2,0,0,1,Not Selected,0,Room_Type 1,32,2018,8,20,Online,0,0,0,96.33,1,Not_Canceled
27836,INN27837,2,0,1,2,Meal Plan 1,0,Room_Type 1,207,2018,12,30,Offline,0,0,0,161.67,0,Not_Canceled
26458,INN26459,2,0,1,2,Not Selected,1,Room_Type 1,12,2018,8,1,Online,0,0,0,128.0,2,Not_Canceled
9284,INN09285,2,0,2,3,Meal Plan 1,0,Room_Type 1,218,2018,8,20,Online,0,0,0,90.95,1,Canceled
32100,INN32101,2,0,1,2,Meal Plan 1,0,Room_Type 4,168,2018,7,18,Online,0,0,0,112.8,1,Canceled
16628,INN16629,2,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,96.0,1,Not_Canceled
13783,INN13784,3,0,0,3,Meal Plan 1,0,Room_Type 4,32,2018,4,13,Online,0,0,0,140.7,0,Canceled
34154,INN34155,2,0,2,3,Meal Plan 1,0,Room_Type 1,208,2018,10,22,Online,0,0,0,96.3,0,Canceled
7242,INN07243,1,0,2,5,Not Selected,0,Room_Type 1,101,2018,7,3,Online,0,0,0,103.5,0,Canceled
15072,INN15073,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
5595,INN05596,2,0,1,3,Meal Plan 1,0,Room_Type 4,13,2018,12,26,Online,0,0,0,119.0,0,Not_Canceled
22095,INN22096,2,0,1,2,Meal Plan 1,0,Room_Type 1,224,2017,10,2,Offline,0,0,0,65.0,0,Not_Canceled
14179,INN14180,3,0,2,5,Meal Plan 1,0,Room_Type 4,58,2018,9,5,Online,0,0,0,153.77,0,Not_Canceled
23760,INN23761,1,0,1,1,Meal Plan 1,0,Room_Type 1,93,2018,6,20,Online,0,0,0,126.9,1,Not_Canceled
27306,INN27307,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,9,Offline,0,0,0,120.0,0,Not_Canceled
5323,INN05324,1,0,0,1,Meal Plan 1,0,Room_Type 1,26,2018,11,2,Corporate,1,0,10,88.0,1,Not_Canceled
4526,INN04527,1,0,0,3,Meal Plan 1,1,Room_Type 1,4,2018,12,20,Corporate,1,0,1,67.0,1,Not_Canceled
7939,INN07940,2,0,2,0,Meal Plan 1,0,Room_Type 1,16,2018,4,17,Online,0,0,0,101.0,2,Not_Canceled
26035,INN26036,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,6,9,Online,0,0,0,109.0,1,Not_Canceled
21339,INN21340,2,0,1,3,Not Selected,0,Room_Type 1,105,2018,12,26,Online,0,0,0,61.09,1,Not_Canceled
24955,INN24956,1,0,0,1,Meal Plan 1,0,Room_Type 1,73,2018,10,6,Online,0,0,0,113.4,1,Not_Canceled
21264,INN21265,2,0,1,3,Meal Plan 1,0,Room_Type 1,45,2018,11,28,Online,0,0,0,88.4,0,Not_Canceled
23939,INN23940,2,0,0,1,Not Selected,0,Room_Type 1,33,2018,1,22,Online,0,0,0,51.97,0,Canceled
29074,INN29075,2,0,1,0,Not Selected,1,Room_Type 1,4,2018,3,28,Online,0,0,0,98.0,1,Not_Canceled
34101,INN34102,2,0,0,4,Meal Plan 1,0,Room_Type 1,180,2018,10,26,Online,0,0,0,66.49,1,Not_Canceled
32401,INN32402,3,0,0,3,Meal Plan 1,0,Room_Type 4,160,2018,7,14,Online,0,0,0,137.7,0,Canceled
33771,INN33772,2,0,0,2,Not Selected,0,Room_Type 1,35,2018,10,28,Online,0,0,0,109.0,2,Not_Canceled
24467,INN24468,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0,Canceled
17515,INN17516,2,0,1,2,Meal Plan 2,1,Room_Type 4,19,2018,3,11,Online,0,0,0,171.0,2,Not_Canceled
21960,INN21961,1,0,0,1,Meal Plan 1,0,Room_Type 1,17,2018,11,17,Corporate,0,0,0,67.0,0,Canceled
3324,INN03325,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,114.0,1,Not_Canceled
34397,INN34398,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
12861,INN12862,2,0,2,1,Not Selected,0,Room_Type 1,134,2018,11,12,Online,0,0,0,79.2,0,Canceled
35406,INN35407,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
26043,INN26044,2,2,2,5,Meal Plan 1,0,Room_Type 6,145,2018,8,8,Online,0,0,0,184.95,1,Not_Canceled
6210,INN06211,2,0,1,2,Meal Plan 1,0,Room_Type 1,233,2018,10,14,Online,0,0,0,90.0,0,Canceled
12507,INN12508,2,0,1,3,Meal Plan 1,0,Room_Type 1,123,2017,7,13,Online,0,0,0,76.5,0,Canceled
11228,INN11229,2,0,1,2,Not Selected,0,Room_Type 1,128,2018,6,27,Online,0,0,0,85.5,0,Canceled
29844,INN29845,2,1,2,1,Meal Plan 1,0,Room_Type 1,10,2017,12,5,Online,0,0,0,79.39,1,Not_Canceled
11004,INN11005,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2018,6,30,Online,0,0,0,116.27,2,Not_Canceled
33957,INN33958,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2018,10,18,Online,0,0,0,154.5,0,Not_Canceled
